P0AG91	51fdfca8e71148381d19e004eafb7861	615	PANTHER	PTHR30081		5	615	2.9E-158	T	25-03-2019
P0AG91	51fdfca8e71148381d19e004eafb7861	615	Pfam	PF07549	SecD/SecF GG Motif	120	140	6.1E-6	T	25-03-2019	IPR022646	Protein-export membrane protein SecD/SecF/SecDF, conserved site		
P0AG91	51fdfca8e71148381d19e004eafb7861	615	Pfam	PF02355	Protein export membrane protein	433	601	2.0E-15	T	25-03-2019	IPR022813	Protein-export membrane protein SecD/SecF, archaeal and bacterial		
P0AG91	51fdfca8e71148381d19e004eafb7861	615	Pfam	PF13721	SecD export protein N-terminal TM region	2	103	1.1E-37	T	25-03-2019	IPR027398	SecD export protein N-terminal TM domain		
P0AG91	51fdfca8e71148381d19e004eafb7861	615	TIGRFAM	TIGR00916	2A0604s01: protein-export membrane protein, SecD/SecF family	345	594	2.5E-84	T	25-03-2019	IPR022645	Protein-export membrane protein SecD/SecF, bacterial		
P0AG91	51fdfca8e71148381d19e004eafb7861	615	TIGRFAM	TIGR01129	secD: protein-export membrane protein SecD	123	601	1.4E-151	T	25-03-2019	IPR005791	Protein translocase subunit SecD	GO:0006886|GO:0015450	
P0AG91	51fdfca8e71148381d19e004eafb7861	615	PANTHER	PTHR30081:SF1		5	615	2.9E-158	T	25-03-2019
Q8X551	f13fe703ef016e605f60b1d1630810fa	141	Pfam	PF06254	Putative bacterial toxin ydaT	48	102	6.0E-10	T	25-03-2019	IPR009364	Putative bacterial toxin ydaT		
Q8XD92	9e8af8230ac0d9b2988b809b0cbe1263	684	PANTHER	PTHR11070		52	684	4.1E-286	T	25-03-2019	IPR000212	DNA helicase, UvrD/REP type	GO:0003677|GO:0004003|GO:0005524	
Q8XD92	9e8af8230ac0d9b2988b809b0cbe1263	684	Pfam	PF00580	UvrD/REP helicase N-terminal domain	197	490	8.5E-44	T	25-03-2019	IPR034739	UvrD/AddA helicase, N-terminal	GO:0005524	
Q8XD92	9e8af8230ac0d9b2988b809b0cbe1263	684	Pfam	PF12462	DNA helicase IV / RNA helicase N terminal	1	164	2.8E-61	T	25-03-2019	IPR022161	DNA helicase IV, N-terminal domain		
Q8XD92	9e8af8230ac0d9b2988b809b0cbe1263	684	Pfam	PF13361	UvrD-like helicase C-terminal domain	542	659	6.3E-13	T	25-03-2019	IPR014017	UvrD-like DNA helicase, C-terminal	GO:0005524|GO:0016787	
Q8XD92	9e8af8230ac0d9b2988b809b0cbe1263	684	PANTHER	PTHR11070:SF28		52	684	4.1E-286	T	25-03-2019
A0A0H3JID2	265099e9f771756699c63f54226169d6	374	PIRSF	PIRSF016624		1	374	1.9E-170	T	25-03-2019	IPR012106	Protease, Mu phage/prophage I type		
