P0AB24	23ee0d4a70a2d6d1fd499146cb3c5cc5	375	Pfam	PF13473	Cupredoxin-like domain	13	115	1.8E-24	T	25-03-2019	IPR028096	EfeO-type cupredoxin-like domain		
P0AB24	23ee0d4a70a2d6d1fd499146cb3c5cc5	375	PANTHER	PTHR39192		4	375	1.2E-184	T	25-03-2019
P0AB24	23ee0d4a70a2d6d1fd499146cb3c5cc5	375	CDD	cd14656	Imelysin-like_EfeO	132	369	4.86606E-111	T	25-03-2019	IPR034981	EfeO/Algp7, imelysin-like domain		
P0AB24	23ee0d4a70a2d6d1fd499146cb3c5cc5	375	Pfam	PF09375	Imelysin	135	368	2.2E-43	T	25-03-2019	IPR018976	Peptidase M75, Imelysin		
P39452	8f67e23b121295d075cc56c8858a5c5a	714	CDD	cd01679	RNR_I	128	695	0.0	T	25-03-2019
P39452	8f67e23b121295d075cc56c8858a5c5a	714	TIGRFAM	TIGR02506	NrdE_NrdA: ribonucleoside-diphosphate reductase, alpha subunit	103	696	1.1E-157	T	25-03-2019	IPR013346	Ribonucleotide reductase, class I , alpha subunit	GO:0055114	KEGG: 00230+1.17.4.1|KEGG: 00240+1.17.4.1|KEGG: 00480+1.17.4.1|MetaCyc: PWY-6545|MetaCyc: PWY-7184|MetaCyc: PWY-7198|MetaCyc: PWY-7210|MetaCyc: PWY-7220|MetaCyc: PWY-7222|MetaCyc: PWY-7226|MetaCyc: PWY-7227|Reactome: R-HSA-499943
P39452	8f67e23b121295d075cc56c8858a5c5a	714	Pfam	PF02867	Ribonucleotide reductase, barrel domain	176	693	6.3E-141	T	25-03-2019	IPR000788	Ribonucleotide reductase large subunit, C-terminal	GO:0006260|GO:0055114	KEGG: 00230+1.17.4.1|KEGG: 00240+1.17.4.1|KEGG: 00480+1.17.4.1|MetaCyc: PWY-6545|MetaCyc: PWY-7184|MetaCyc: PWY-7198|MetaCyc: PWY-7210|MetaCyc: PWY-7220|MetaCyc: PWY-7222|MetaCyc: PWY-7226|MetaCyc: PWY-7227|Reactome: R-HSA-499943
P39452	8f67e23b121295d075cc56c8858a5c5a	714	PANTHER	PTHR11573:SF19		11	714	0.0	T	25-03-2019
P39452	8f67e23b121295d075cc56c8858a5c5a	714	Pfam	PF00317	Ribonucleotide reductase, all-alpha domain	99	171	6.0E-12	T	25-03-2019	IPR013509	Ribonucleotide reductase large subunit, N-terminal	GO:0004748|GO:0005524|GO:0006260|GO:0055114	KEGG: 00230+1.17.4.1|KEGG: 00240+1.17.4.1|KEGG: 00480+1.17.4.1|MetaCyc: PWY-6545|MetaCyc: PWY-7184|MetaCyc: PWY-7198|MetaCyc: PWY-7210|MetaCyc: PWY-7220|MetaCyc: PWY-7222|MetaCyc: PWY-7226|MetaCyc: PWY-7227|Reactome: R-HSA-499943
P39452	8f67e23b121295d075cc56c8858a5c5a	714	Pfam	PF08343	Ribonucleotide reductase N-terminal	16	97	1.7E-28	T	25-03-2019	IPR013554	Ribonucleotide reductase N-terminal		KEGG: 00230+1.17.4.1|KEGG: 00240+1.17.4.1|KEGG: 00480+1.17.4.1|MetaCyc: PWY-6545|MetaCyc: PWY-7184|MetaCyc: PWY-7198|MetaCyc: PWY-7210|MetaCyc: PWY-7220|MetaCyc: PWY-7222|MetaCyc: PWY-7226|MetaCyc: PWY-7227
